,bands,spotify_id,musicbrainz_id,gracenote_era,member_count,spotify_popularity,spotify_genre,spotify_track_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lastfm_play_count,lastfm_listener_count,played_warped
21,City and Colour,74gcBzlQza1bSfob90yRhR,b1003bf1-25b8-41f4-a783-36060f987913,2000,2,67,folk-pop,52.0,0.4994,0.4978,252553.0,0.4774,0.000455591,6.0,0.15787,-8.0458,0.0,0.03106,129.3009,3.0,0.3288,48203654,926610,0
22,Silversun Pickups,6qyi8X6MdP1lu6B1K6yh3h,b5bd9f88-962e-4730-84a7-795592ba42e8,2000,4,60,alternative metal,47.0,0.05268412,0.5447,295863.0,0.7824,0.236309,4.0,0.20086,-6.4061,0.0,0.05224,139.3473,3.0,0.4123,24687301,797305,0
23,G-Eazy,02kJSzxNuaWGqwubyUba0Z,db48610c-6d8f-4d10-90ca-c4d14bb1a8b1,2010,1,88,dwn trap,74.0,0.0727165,0.6463,223761.0,0.6185,1.47e-05,6.0,0.14588,-7.6531,0.0,0.25235,127.8244,4.0,0.4275,5342911,306456,0
24,Grimes,053q0ukIDRgzwTr4vNSwab,43f86a5e-7f65-4370-a81a-fe09a7ec84cd,2010,1,68,alternative dance,58.0,0.0533603,0.6076,235224.0,0.7446,0.3302993,6.0,0.19767,-6.2776,0.0,0.04641,146.4784,4.0,0.4524,0,0,0
25,Daughter,46CitWgnWrvF9t70C2p1Me,373241ba-2101-429c-a8fc-c3ac4a4245fe,2010,2,69,chamber pop,53.0,0.6905,0.4184,266782.0,0.4848,0.104267359,4.0,0.15646,-11.1588,0.0,0.04732,124.1538,3.0,0.2567,20780944,636626,0
26,Yeasayer,04HvbIwBccFmRie5ATX4ft,3feba7fa-3837-424a-b4f1-0077d217f569,2000,3,53,alternative dance,42.0,0.154128,0.5615,255347.0,0.7664,0.111342708,5.0,0.17347,-6.9291,0.0,0.06551,123.3146,3.0,0.4222,23819699,802831,0
27,Hardwell,6BrvowZBreEkXzJQMpL174,170d6637-36e0-49dd-a225-c4fd5b77a285,2010,1,75,big room,63.0,0.0163907,0.6163,197723.0,0.872,0.17280537,5.0,0.3201,-3.8145,0.0,0.11333,129.3941,4.0,0.2505,4263809,353298,0
28,Jane's Addiction,02NfyD6AlLA12crYzw5YcR,e3434cc7-d348-491a-9dc8-325af3d9086d,1990,5,57,album rock,45.0,0.07189383,0.4062,267601.0,0.7874,0.138381076,8.0,0.3526,-7.1538,0.0,0.07203,99.4919,4.0,0.34492,11624107,932283,0
29,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,8ab5d936-49d1-415e-92c8-151e0e7dd912,2010,1,75,dwn trap,60.0,0.0840483,0.7735,216078.0,0.6639,5.83e-05,4.0,0.19577,-5.8378,0.0,0.17012,119.1828,3.0,0.3778,4146423,180327,0
30,Halsey,26VFTg2z8YR0cCuwLzESi2,3377f3bb-60fc-4403-aea9-7e800612e060,2010,1,89,dance pop,66.0,0.1285,0.5755,220155.0,0.7256,0.000212334,2.0,0.20208,-5.4267,0.0,0.06225,118.0872,4.0,0.3956,0,0,0
31,Years & Years,5vBSrE1xujD2FXYRarbAXc,9f23b7c3-baa6-4e38-b1a9-5c38359ad982,2010,3,75,dance pop,54.0,0.31204,0.5877,230679.0,0.668,2.03e-07,5.0,0.17193,-5.6754,0.0,0.04721,106.928,4.0,0.4824,10675271,392943,0
32,Danny Brown,7aA592KWirLsnfb5ulGWvU,960afc67-9c21-46dd-9c7f-ff2b509e3150,2010,1,66,alternative hip hop,55.0,0.22605236,0.6279,191644.0,0.7854,0.073403521,5.0,0.23632,-5.7912,0.0,0.18245,108.4965,3.0,0.4662,13552255,319436,0
