,bands,spotify_id,musicbrainz_id,gracenote_era,member_count,spotify_popularity,spotify_genre,spotify_track_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lastfm_play_count,lastfm_listener_count,played_warped
39,Joey Purp,1ewyVtTZBqFYWIcepopRhp,4fb6cf2d-9524-4580-b351-73d0f1d6c559,2010,1,0,0,52.0,0.273675,0.87,221499.0,0.5085,2.39e-05,7.0,0.1177,-8.168,0.0,0.267,116.0025,4.0,0.3875,0,0,0
40,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,dbe7fdf7-81b2-418b-b3f6-81ae71532f40,2010,1,47,chamber pop,39.0,0.149686,0.4355,230801.0,0.42245,0.31263,5.0,0.1215,-10.3904,0.0,0.03599,119.8137,4.0,0.20486,0,0,0
41,Potty Mouth,4liUQpCxxhjGMgc33K81Fw,43cb987e-0b92-4f1b-b068-dead06d78522,2010,1,30,indie punk,21.0,0.00603063,0.3828,196967.0,0.8565,0.186078676,5.0,0.24124,-5.4299,0.0,0.04952,115.9,4.0,0.4778,156152,17443,0
2,M0,3pn4IZjJCZyGTkdHAwZQ39,3ab2ee23-1c2f-458c-9c8c-ca4844729120,2000,2,0,0,0.0,0.209063,0.7836,211850.0,0.4389,0.016503505,7.0,0.14661,-8.1331,0.0,0.17152,112.6237,4.0,0.4196,10923024,437008,0
3,Curt Reynolds,51PSlMHvG1HCInKyLVHMu1,587d0713-d985-4caa-8700-7784586f70f6,0,6,0,0,19.0,0.05835,0.7565,253421.0,0.6745,0.46375425,2.0,0.1959,-9.3715,0.0,0.046175,115.98,4.0,0.48625,4647,813,0
0,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,0,2000,0,64,dance pop,50.6,0.0172135,0.6736,200464.0,0.7515,1.1909e-05,5.1,0.24167,-5.2019,0.6,0.10541,119.9838,4.0,0.4632,0,0,1
1,68,51EEn3UICoilrrWVZFz30C,c2a7fb29-eb0d-4ecc-82da-24f94af0c6da,0,0,29,progressive post-hardcore,23.2,0.0923406,0.376,207662.7,0.792,0.014623024,4.5,0.19713,-7.5081,0.6,0.0921,127.2846,3.8,0.30747,101396,4226,1
2,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,db008806-16f6-48fc-8521-3d953709689d,2000,6,75,metalcore,63.0,0.01133206,0.4472,215981.0,0.9206,5.49e-07,4.7,0.20931,-4.2712,0.8,0.10893,146.5107,4.0,0.39048,81779037,1138832,1
3,A Loss For Words,0vuZyuRUkG13retcEH8lH9,2284b06a-0f1c-4204-95fd-dda07013af03,2000,2,36,alternative emo,26.1,0.08264671,0.4268,199239.4,0.8464,1.1784e-05,6.3,0.19547,-4.1514,0.7,0.07951,136.0763,4.0,0.4449,2103866,75012,1
4,A Lot Like Birds,4tGd3HHlV4RVOdlBc5LAW3,61c01df3-ca06-4a09-8f74-66000831f27d,0,1,38,dreamo,28.8,0.00495063,0.3917,314975.9,0.9287,0.026516303,5.1,0.30134,-3.4681,0.2,0.11663,131.1354,3.6,0.26679,1501256,43447,1
5,A Skylit Drive,2HSp2S2KwxKE7sASl6bMR9,33464f19-aa8b-4bbf-982d-05f5e78643c8,2000,1,53,melodic metalcore,40.3,0.001362039,0.3454,211332.4,0.9331,0.000149738,6.2,0.29979,-3.1642,0.7,0.08434,127.6555,4.0,0.4009,11330334,370192,1
6,Action Item,3JST7Now2kQfkzE14z3tCi,c3ebe23b-a704-4f70-aa5e-ef06e700fb50,2000,0,21,alternative pop rock,12.75,0.2421680375,0.614875,206129.5,0.6295,0.11853462125,4.625,0.1027875,-8.922875,0.875,0.039275,117.113625,4.0,0.480275,152314,8598,1
7,Against Me!,29lz7gs8edwnnfuXW4FhMl,0,2000,0,59,emo,45.3,0.0023086,0.5413,196299.0,0.8897,0.03291718,4.3,0.11963,-3.8137,0.8,0.06201,130.7981,4.0,0.6,0,0,1
8,Aiden,2StetEA6xAwZgC0tGICp33,d4f82967-4008-4481-953d-399d089753dd,2000,0,52,0,11.2,0.2497817,0.4882,248018.5,0.5669,0.047506684,5.6,0.13008,-8.7314,0.8,0.0407,127.8469,3.8,0.34585,7117401,305942,1
9,Air Dubai,6kGtzM5VnE4NaMUq7GUWz5,872795ed-6f97-4b8e-a4c1-e922eed52da1,2010,0,33,0,21.6,0.091213,0.644,227145.3,0.7551,0.075958484,4.1,0.29019,-5.3265,0.6,0.07009,123.1738,4.0,0.5645,106210,13162,1
10,Alesana,1fnDlUNi67FQtHHqBl4Yfg,1079b087-a5b3-4a07-abbc-88043ceda334,2000,1,55,emo,39.1,0.00123465,0.3558,311249.6,0.9661,0.077036098,4.0,0.41341,-4.2464,0.6,0.14792,145.2427,3.8,0.22501,18459841,502056,1
11,Alive Like Me,0a2oPklE7vdEsansuNae18,5aaa3056-9b03-474a-9a99-b1824096aed7,2010,0,36,pixie,27.8,0.00753796,0.3519,209047.0,0.967,9.73e-07,4.3,0.27627,-2.7622,0.5,0.10385,149.8227,4.0,0.2646,116609,6688,1
12,Alkaline Trio,1aEYCT7t18aM3VvM6y8oVR,69421e11-e4c3-4854-951b-ceab4972e38e,2000,5,59,emo,44.0,0.0093727,0.4822,201419.9,0.9005,5.5329e-05,5.5,0.2267,-5.1717,0.8,0.07906,138.7595,4.0,0.5201,43461696,793146,1
13,All Time Low,46gyXjRIvN1NL1eCB8GBxo,62162215-b023-4f0e-84bd-1e9412d5b32c,2000,4,73,pixie,60.5,0.08891687,0.4774,213119.2,0.8109,1.9026e-05,3.9,0.23233,-4.3707,0.7,0.06169,150.4146,3.9,0.4875,54970186,1128658,1
14,Allison,0sN4enVJwylJKEXZlSbgsm,f5b705c9-875a-4faf-ba32-6d56b994c63f,2000,0,45,bebop,27.6,0.9078,0.662,165741.4,0.23902,0.11787342,5.4,0.1588,-15.6764,0.7,0.06552,106.8284,4.0,0.5648,516248,45936,1
15,Allison Weiss,4IGwzLIakiiU6szUIAodkI,773ce5fa-7b67-402d-bfa0-3a822152f123,2000,0,37,0,27.1,0.23913607,0.5201,207542.5,0.6261,0.143901203,7.4,0.14946,-6.3008,0.7,0.04033,123.0808,3.8,0.4792,875727,46084,1
16,Amber Pacific,4GHa4pyuelazwyhdLo5AwL,ab74e46a-714d-4c2c-90e7-b0638c863917,2000,0,43,emo,31.3,0.09493587,0.5362,206261.5,0.8593,0.000380873,4.9,0.14662,-4.5822,0.9,0.06191,142.8759,4.0,0.6449,5325589,323723,1
17,American Pinup,0wGCdZy0CF4Lo8sei5sYA4,5d56dc1f-1852-49b4-8c29-be81978afd65,0,0,10,0,4.2,0.04753249,0.3641,254977.5,0.813,0.000221031,7.8,0.18804,-5.4964,0.6,0.08307,139.0215,4.0,0.4281,10267,750,1
18,Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK,0bfb9d2b-e732-4f28-b2fe-e1d3db9665f1,2000,2,65,metalcore,53.9,0.03839711,0.3711,241535.6,0.9666,0.0,5.3,0.36928,-3.3555,0.5,0.20133,149.6416,4.0,0.27586,8176947,140569,1
19,Anarbor,09J4zbHHwNNlN2tfgJIg21,6e9b8c29-2542-4283-8f04-ba32a6927d86,2000,5,50,alternative pop rock,39.3,0.1107027,0.5979,184546.3,0.8433,9.312e-06,5.4,0.16005,-4.1908,0.7,0.05237,120.3095,4.0,0.6535,2834579,185243,1
20,Anberlin,5v61OSg53KaQxGMpErkBNp,c648509e-9916-4c56-ab63-652a03da16dd,2000,6,58,alternative metal,44.6,0.08404225,0.4676,212738.6,0.7505,0.005101182,4.5,0.15682,-7.7548,0.5,0.05478,147.5745,4.0,0.4861,37901163,828917,1
21,Angels & Airwaves,7xklw3WodFZiNNmQt3DIgp,05071a7e-e71c-4306-a509-591cd3686893,2000,6,60,emo,45.9,0.02400125,0.4924,258850.4,0.8846,0.000518467,5.2,0.1815,-4.7936,1.0,0.06253,153.0105,4.0,0.5254,30723216,845492,1
22,Anti-Flag,30sqtiTKIb1oDve0SdYayT,b88f21a7-a1b9-48fd-bbc4-ae758026f17f,1990,5,56,melodic hardcore,41.8,0.02470669,0.4673,183102.8,0.8526,0.000680429,5.4,0.22296,-4.9433,0.8,0.08905,126.7035,4.0,0.6369,25984943,764546,1
23,Artist Vs. Poet,3kYFawNQVZ00FQbgs4rVBe,ed426a89-d522-4ca5-8c6b-d7910e084446,2010,1,47,alternative pop rock,36.5,0.2995029,0.6297,198278.3,0.5671,1.14e-07,5.6,0.18669,-7.4923,0.9,0.05932,129.066,4.0,0.5622,3032290,244427,1
24,As I Lay Dying,2vd2HnNh4pdYa9gDVHFjEu,6e90c291-8274-41e7-9c50-0b8dd3ca8b9d,2000,0,57,alternative metal,45.6,9.7974e-05,0.37,242378.7,0.9821,0.0435698,4.3,0.3027,-3.9724,0.7,0.12109,151.7439,4.0,0.29538,41524134,829543,1
25,As It Is,3IXtskFMls8KXRipcIJT9y,f3ab417e-07c7-468a-8631-808051d5d843,2010,0,51,anthem emo,35.9,0.07963791,0.4202,196856.1,0.8464,0.002355987,3.9,0.20337,-4.9373,0.7,0.0565,145.6102,4.0,0.4481,393229,19953,1
26,Assuming We Survive,2vfLzfNgADEVYZiFBgopeP,f7f36295-7a65-4a91-9501-cd5eb879a234,2010,0,33,anthem emo,25.0,0.01346782,0.4343,215345.5,0.8705,0.00700299,4.3,0.17848,-6.246,0.8,0.18641,157.3888,4.0,0.5028,0,0,1
27,Atreyu,3LkSiHbjqOHCKCqBfEZOTv,17e137fb-59e5-4fd7-af48-afc34995396c,2000,5,60,alternative metal,48.0,0.00223182,0.3706,228859.9,0.9152,0.019938882,4.2,0.22888,-4.2857,0.5,0.14958,145.927,3.9,0.4349,36225621,991894,1
28,Attack!Attack!,6FXMGgJwohJLUSr5nVlf9X,0,2010,0,67,downtempo,52.5,0.188185,0.6263,344445.2,0.5475,0.50674,6.3,0.16339,-10.1359,0.6,0.04322,123.6838,4.0,0.34444,0,0,1
29,August Burns Red,5p9CTsn5ueGU4oScNX1axu,5bac9b4f-2f1c-4d39-8d11-231d5b6650ce,2000,0,61,christian christmas,45.1,7.4016e-05,0.3055,220210.6,0.9809,0.5029901,3.8,0.25419,-3.8565,0.6,0.14642,139.3382,3.4,0.17087,24846951,546232,1
30,Authority Zero,5CHcX5KtuSz5uo1p5fM3sz,d17dbc4c-7cd4-4a81-83cc-f49f786455f9,2000,6,45,melodic hardcore,34.3,0.048036,0.4325,234829.3,0.9383,4.23e-07,5.4,0.24647,-4.3435,0.6,0.1473,128.6376,3.9,0.43692,2962237,153060,1
31,Baby Baby,5p9TUSD6SyBK533z7sVaGK,b1b1de67-d764-4a03-adc5-070ff89376b8,0,0,71,0,54.3,0.9822,0.4451,108084.2,0.1908,0.9074,2.3,0.13907,-20.5859,0.9,0.0475,83.7849,3.5,0.27829,0,0,1
32,Bad Religion,2yJwXpWAQOOl5XFzbCxLs9,149e6720-4e4a-41a4-afca-6d29083fc091,1980,14,64,alternative rock,48.5,0.0021778,0.4146,159473.3,0.9614,0.002016167,4.0,0.25582,-4.5398,0.7,0.07358,151.8123,4.0,0.6884,62158482,1072683,1
33,Ballyhoo!,6py4uFIC7T6RdrZnH6hFYJ,0,2000,0,51,reggae rock,40.4,0.134232,0.5829,203252.2,0.7677,7.44e-06,6.2,0.21165,-6.2051,0.6,0.05079,120.0586,4.0,0.8354,0,0,1
34,Bayside,51J0q8S7W3kIEYHQi3EPqk,5f821136-9935-403c-abb5-e78ddda35e9f,2000,5,56,alternative emo,41.6,0.0915379,0.4283,214117.5,0.8118,0.0012547,5.9,0.16071,-4.6266,0.5,0.07973,152.508,4.0,0.4516,14110379,345136,1
35,Beartooth,6vwjIs0tbIiseJMR3pqwiL,98a1e0ab-35fa-40dd-b62c-9fda46fdb061,2010,1,66,columbus ohio indie,55.7,0.12593007,0.4692,206671.5,0.9414,0.00091584,5.5,0.35681,-3.7709,0.7,0.11563,129.4713,3.9,0.4827,2056782,62524,1
36,Beat Union,4UaSOQdzN9Pv7ADqd6d7pE,79edf7bc-0b58-4c52-92f0-37a0faa57038,2000,0,7,0,3.5,0.0131903,0.5222,177625.3,0.8933,0.0,6.0,0.16589,-4.5424,0.8,0.08003,148.3972,4.0,0.7185,78022,8360,1
37,Beautiful Bodies,1L5Wcid8qi4K85Ynq7mLaZ,81b9f719-592c-486a-b501-b0003ed06aba,2010,0,30,pixie,22.3,0.0153413,0.5044,190397.0,0.9149,0.028048938,4.9,0.17426,-4.8145,0.2,0.10731,136.9615,4.0,0.4965,41739,2237,1
38,Bedouin Soundclash,2Au2mS47rMRkqbU4XJqKMh,e0036453-ce34-4095-af40-8c70ee07cef1,2000,0,45,reggae rock,26.3,0.19155,0.7452,190775.1,0.699,0.003444015,7.4,0.19192,-6.4794,0.9,0.06452,119.3963,4.0,0.618,5240559,320869,1
39,Beebs and Her Money Makers,3UpLzPqd1FUZCCyz8uA8GP,8d447ee5-b077-4cec-8b08-bcf4c3b23be4,2010,0,16,0,9.2,0.059431,0.6392,218252.5,0.7826,6.041e-05,6.4,0.14991,-5.4163,0.3,0.05416,130.483,3.9,0.7834,14559,1443,1
40,Being As An Ocean,7ML9AQvVVE3c5m0sx1PlmP,956f5b24-6734-4d4d-94f2-411113485736,2010,0,52,alternative emo,42.2,0.0826871,0.4397,250994.3,0.8601,0.005159747,5.9,0.13529,-5.7237,0.4,0.05321,131.113,4.0,0.21719,2822416,41951,1
41,Big Chocolate,4OmzTj77F9m60Bnp3aTgqr,ccebdfd2-92a6-42d9-9337-41bc8dd1f9f3,2010,0,34,brostep,22.7,0.080803,0.7578,226432.6,0.7729,0.383646,5.2,0.12507,-7.1863,0.6,0.23405,131.3774,4.0,0.4585,616239,39452,1
42,Big D and the Kids Table,7rCVe3W6E37VMHBHJXB6xD,acb31795-164b-49b5-b50e-1422bbf13898,2000,12,43,folk punk,32.4,0.0309443,0.5536,205912.1,0.9159,2.9717e-05,4.5,0.2186,-3.3269,1.0,0.09856,134.944,4.0,0.7785,5635265,266333,1
43,Black President,6DOubyf94T5z4HddsfDAA2,ba860f66-b815-41bc-a08c-d6494710524c,2000,9,0,0,0.0,0.00311,0.47,144692.0,0.72,0.0,1.0,0.714,-4.317,1.0,0.198,81.57,4.0,0.124,49858,4512,1
44,Black Veil Brides,6O7MpKrY91vlCd4Osi6XKs,33319aed-9bd7-4cd1-903c-716845c1b7cd,2010,5,65,alternative metal,50.6,0.087624446,0.3919,245412.0,0.8586,0.008838691,6.0,0.15097,-4.7946,0.5,0.08259,158.659,3.9,0.3193,10612421,309987,1
45,Blacklist Royals,5wza25BWYEWHc2JALBjr58,0d4c17fd-a4f5-4c75-9c2c-708d602d37df,2010,0,17,alternative roots rock,9.6,0.2044774,0.4381,203181.2,0.758,0.05980494,7.8,0.22285,-6.3983,0.9,0.05212,128.1361,4.1,0.4972,106734,9820,1
46,blessthefall,7t2C8WwLyKUKRe0LVh8zl9,aafa70a4-2f06-4975-935e-b283fc87de7e,2000,0,56,melodic metalcore,38.9,0.00063988,0.3436,251274.7,0.9301,0.049879862,5.2,0.2846,-4.0666,0.4,0.1026,151.3032,3.9,0.21434,18531921,515998,1
47,Blinded Black,0,99efd2a7-7ebd-48ba-aaa5-dcfe14f1b906,2000,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145147,12081,1
48,Blink 182,6FBDaR13swtiWwGhX1WQsP,0743b15a-3c32-48c8-ad58-cb325350befa,1990,5,81,heavy christmas,66.7,0.0099242,0.4904,186004.6,0.8759,9.062e-06,3.1,0.23087,-4.8564,1.0,0.06807,136.2899,4.0,0.5502,162957491,2811137,1
49,Born Of Osiris,4HgqjpBaWctBWVHafQIpRt,132ca1ea-0891-420f-b129-50247bb144b5,2000,2,52,death core,41.4,0.00087651,0.3973,241248.5,0.9709,0.001389282,4.7,0.20051,-3.3084,0.9,0.1846,158.6658,3.7,0.199,9339628,177133,1
50,Breathe Carolina,53M4Iv2RkzzxFFvW2B1jhC,0509d076-7e31-4f53-bad3-80ee246e23b7,2000,2,65,big room,53.2,0.0174627,0.5258,215584.3,0.8391,0.00208652,6.1,0.23894,-4.4263,0.6,0.0926,128.3296,4.0,0.34414,13675744,501167,1
51,Brian Marquis,5Kf8hlQFqPpEF6z8HA88s6,51e2901a-24c1-404f-a3f2-2c884d231b97,2010,0,7,0,2.9,0.32946,0.5318,242035.6,0.5722,1.6448e-05,6.2,0.15412,-7.2693,0.7,0.0401,117.8981,3.8,0.4187,9960,1983,1
52,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,074e3847-f67f-49f9-81f1-8c8cea147e8e,2000,4,78,metalcore,68.1,0.00887229,0.4177,245135.9,0.8812,0.00137266,5.0,0.25099,-4.1837,0.3,0.07386,142.0549,4.0,0.31167,70989256,949271,1
53,Broadway Calls,3Wu91JvrEq0es9cgXLQzbS,d7de7007-1dd0-4605-9ab8-8f5dbc478e79,2000,1,28,alternative emo,17.7,0.02960452,0.5292,175359.8,0.8978,1.69e-07,6.2,0.2762,-4.7961,1.0,0.06361,148.4919,4.0,0.7453,1284058,46726,1
54,Buck-O-Nine,1jteNNEz2fLM4pF5ezFr5f,be00eda8-a3ef-45ac-b70a-de21bcd61562,1990,1,34,ska,22.2,0.03246,0.6397,176064.2,0.8592,0.081709931,4.4,0.12232,-4.5959,0.9,0.05201,118.8511,4.1,0.7411,1002593,111960,1
55,Candy Hearts,62ZE05EcDkspUxRw1u2ger,22d33e18-59cf-4ee0-a69e-3b1e00b08a0f,2010,0,26,candy pop,14.9,0.0356489,0.4932,184012.2,0.8341,0.018214792,1.7,0.21473,-4.7316,0.8,0.0559,141.3986,4.0,0.6512,358428,13226,1
56,Cane Hill,0DZKzOGHDqGaf1N2pmsBRZ,89254fcc-91d8-46f9-a861-f0e91333ec70,2010,0,43,post-screamo,35.2,0.00404326,0.495,210530.7,0.9352,0.000343599,4.4,0.4468,-5.3519,0.8,0.12445,138.6334,3.9,0.3282,0,0,1
57,Charlotte Sometimes,4cddmXsTEAguEoWtO5g07c,5c474318-2b92-4520-a656-5a48414acbc8,2000,1,25,acoustic pop,14.4,0.139445,0.5961,189765.9,0.7562,0.0014886,4.1,0.15346,-4.4099,0.8,0.04592,112.5467,4.0,0.6052,1653700,136048,1
58,Chase Long Beach,7cTl5WerKTQedwKV4Gj2Wp,72f8fefe-87e6-4e36-96f4-333bfd394b41,0,0,20,ska,13.8,0.0036998,0.4762,186059.9,0.9492,0.00974404,6.4,0.21942,-3.7693,0.4,0.11972,139.6087,4.0,0.5302,88372,7440,1
59,Chelsea Grin,4UgQ3EFa8fEeaIEg54uV5b,b0acce58-e847-4c9e-bd09-a204b965e74a,2010,3,54,death core,42.3,0.00441405,0.4443,226770.7,0.9637,0.066918569,5.4,0.30492,-4.4233,0.5,0.13354,117.3644,4.0,0.17427,7755288,205000,1
60,Chiodos,4ZIBrskTJWmkJUvM7uAu1o,b755836a-0cb6-4577-a678-55a5a6402d70,2000,5,53,emo,40.3,0.01663356,0.3853,240098.6,0.8669,5.4672e-05,5.1,0.2711,-5.2543,0.6,0.09895,138.0813,4.0,0.24947,17679975,502393,1
61,Chuck Ragan,6iU0naWn1UgiTReoiXqPXI,97417292-3fb0-40ea-8837-5540cfb4de71,2000,3,45,folk punk,33.3,0.32875,0.5289,205461.6,0.6475,1.76e-07,4.7,0.13213,-6.2778,0.7,0.0308,129.2455,3.8,0.5396,3987776,77413,1
62,"Chunk! No, Captain Chunk!",03jrbNTeSKP9m161juhm0h,0,2010,0,54,anthem emo,35.2,0.000153943,0.4791,202988.3,0.9648,0.1321005,6.4,0.2869,-3.7212,0.8,0.11678,128.256,4.0,0.4733,0,0,1
63,Citizen,7enBrBojgBJuPPdqTq4Z5F,9a5b3d06-9d9f-4ec9-bbb9-5b5e47c7cbd8,2010,1,60,neo mellow,50.5,0.23371,0.6925,253142.7,0.7014,0.004704243,6.1,0.10329,-5.2314,0.5,0.0447,101.2661,4.0,0.5748,2778582,73713,1
64,Civet,51hipax1nWj05IaTdBuoYe,c8912da4-5533-4623-b6bb-e6f20cb3406e,2000,6,19,power-pop punk,9.3,0.000442117,0.4301,179713.5,0.9652,0.40977907,8.2,0.19851,-3.1158,0.7,0.08066,139.9494,4.0,0.3999,551426,15759,1
65,Classic Crime,4Y2ImQoh83EyhkbaJXmJr1,821eaa7e-79b9-4aeb-837c-6acc868ce5f1,2000,0,45,christian alternative rock,32.5,0.02436343,0.4229,240732.1,0.8744,0.002408622,5.2,0.24474,-4.7724,0.5,0.05924,144.1357,3.8,0.4485,4332869,154379,1
66,Closure In Moscow,4I1DvdLsieFgvgYbr8NRfh,a45349d3-5e09-4b22-b558-2e823322b35d,2010,1,41,dreamo,32.8,0.0144337,0.4533,256905.6,0.9301,0.000169741,6.2,0.2828,-4.468,0.3,0.15179,124.9343,3.9,0.3787,2909587,103364,1
67,Cobra Skulls,3uXqKijByMgBlaqhMoaZRa,6de1a269-50f2-4027-b6ad-b862955ef2f8,2000,0,29,folk punk,17.5,0.16457061,0.4241,162430.7,0.8143,0.0470439,4.5,0.15587,-6.3296,0.9,0.04253,124.7756,4.0,0.7223,1100137,50179,1
68,Cobra Starship,2aYJ5LAta2ScCdfLhKgZOY,ffb390b8-8df4-4b72-97d1-7b2fc008a452,2000,2,56,dance pop,45.1,0.021375,0.6214,201006.9,0.857,6.71e-07,3.9,0.26167,-4.4657,0.5,0.07084,130.3841,4.0,0.6723,24700453,915064,1
69,Cold Forty Three,385SfF3zvnT8Yoz9nHwUYe,8cb5e68b-0d3e-46e4-b7da-1c312b60d4f6,2010,0,9,0,2.8,0.0559556,0.4239,203135.1,0.8407,0.008509661,4.5,0.21261,-5.9013,0.9,0.06785,142.0952,4.0,0.4842,5046,909,1
70,Coldrain,4pCVGaLWxDe4d8bsjsnmUM,eeee01ef-15b6-4741-9f42-9477c9ee0804,2000,4,46,j-metal,35.2,0.1104035,0.4752,237780.5,0.8713,0.000193405,4.1,0.18606,-4.6259,0.3,0.12088,143.5107,4.0,0.3892,2858179,42778,1
71,Confide,5AaqnHhrLz7lC1QBqG8i8p,01ce947f-e7b1-4702-a25b-1bb9461fe48b,2000,0,36,metalcore,27.5,0.000370051,0.3035,202972.4,0.9567,9.64e-07,4.9,0.3842,-3.7573,0.7,0.10404,151.2153,4.0,0.30724,5102926,228730,1
72,Crown The Empire,2vKiJjsgjgqIECUyYeIVvO,5cf3bae7-166f-44c2-b48f-63ddea9d4fb2,2010,1,63,metalcore,50.0,0.08979138,0.4662,226361.6,0.9056,0.006416656,4.2,0.24876,-4.9044,0.5,0.09058,125.5371,3.9,0.3051,3737708,108597,1
73,Cruel Hand,1SFgBn3VKdBuPao3H2ZlFV,29f50e16-0b84-4d0a-a72f-e4f1bb5ad48f,2010,0,40,alternative emo,29.0,0.000206979,0.3682,130230.5,0.9559,0.05670481,4.3,0.26288,-5.1099,0.7,0.12355,145.6999,4.0,0.4495,2073479,46356,1
74,Cute Is What We Aim For,7AsPubxWM5tfW4hTZEL3aP,40a5a225-3279-4d48-bca2-6059ed11b4fc,2000,0,50,emo,41.0,0.223384,0.5223,215456.2,0.7228,2.491e-06,3.6,0.20278,-5.5895,0.9,0.05736,133.0756,4.0,0.3935,14087139,567147,1
75,Dance Gavin Dance,6guC9FqvlVboSKTI77NG2k,16456fed-c9f2-4adf-b6ea-97b648c474d2,2000,4,67,emo,55.8,0.056732,0.3012,221286.6,0.9458,0.0,5.6,0.23481,-3.2572,0.5,0.10525,140.3165,3.7,0.3969,18165056,245742,1
76,Dangerkids,3N7q5meGCAvpjRAr2U8OX5,d5518610-eedb-4291-bf95-cc125e9ca324,2010,0,45,post-screamo,38.7,0.00082335,0.4707,232651.9,0.9401,0.000562543,3.4,0.3018,-3.9815,0.4,0.08245,145.322,4.0,0.3276,603498,19799,1
77,Daytrader,4fYPY97NNNPKQj9ErcukP4,9db7f67a-e424-40a2-ab55-e5b9e2d6d5e4,2010,0,27,alternative emo,17.8,0.03012504,0.3901,210200.0,0.8125,0.01395523,6.6,0.19696,-4.3838,0.6,0.04488,131.9459,4.0,0.3985,615959,29021,1
78,Deal's Gone Bad,4OnOESZkm6NZkzcsfTq3WZ,91746ec7-9c1f-4a02-9d15-651eed6319db,0,0,21,ska,13.3,0.13371,0.7175,216625.3,0.712,0.001128205,6.2,0.1262,-6.5739,0.7,0.03861,133.4847,4.0,0.9464,259326,23201,1
79,Dear and the Headlights,1aOp1lgpcwRxADf1jHvXhu,ad96653a-3ea3-4a8b-8cff-d7538ad2452b,2000,0,44,dreamo,33.4,0.0349499,0.5096,223121.5,0.6755,9.154e-05,5.9,0.09694,-5.8477,0.9,0.03453,117.9459,4.0,0.4543,3170927,148896,1
80,Defeater,1L3hqVCHSL1Ajy3m0z1bAT,5ad43538-b4d1-426d-8796-091817cda1db,2010,0,46,alternative emo,32.4,0.1504426,0.5449,182690.0,0.7568,0.061700594,5.3,0.2802,-6.6946,0.8,0.07626,118.435,4.0,0.2741,8856492,129312,1
81,Divided By Friday,5yNN92qKENCA4pWmoSZJpG,49ace637-e9eb-4aff-9099-b564995eca50,2010,0,39,alternative pop rock,27.9,0.094017,0.4573,210750.6,0.8334,9.15e-07,3.6,0.20126,-4.3725,0.8,0.0525,135.2054,4.0,0.5872,207073,16502,1
82,Driver Friendly,4UVsgNJN4uOvnnItAllNcQ,6dd41c38-ac95-42f6-b52c-3c0c9df6019a,2010,0,23,0,14.4,0.032153,0.3986,196417.9,0.8688,0.004900899,5.3,0.2532,-4.9869,0.8,0.06351,141.087,3.9,0.4874,145902,7895,1
83,Dropkick Murphy's,0,e8374874-4178-4869-b92e-fef6bf30dc04,2000,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42987765,970971,1
84,Edler Brother,0,bd857dda-4348-4ef3-9da4-8efa3fdb490f,2010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23377,2458,1
85,Emarosa,68tKVjVvcqUfKFFLr2j0Ek,4b4b24bb-a553-4726-8c4d-a571a881fe59,2000,1,57,emo,45.4,0.0474985,0.4378,223796.6,0.8911,5.1523e-05,6.0,0.17813,-3.4401,0.3,0.07849,130.5349,3.9,0.4114,10144341,216121,1
86,Escape The Fate,5ojhEavq6altxW8fWIlLum,b9ca7096-68de-455f-8a36-1f1ebb2abf2a,2000,1,64,alternative metal,52.2,0.00623156,0.3957,231309.0,0.9226,1.4642e-05,3.9,0.20412,-4.5059,0.3,0.11273,117.7614,4.1,0.33445,31375413,816412,1
87,Evergreen Terrace,5YQUrpDa5dkmo9Vk8hHQP9,9f94e88e-cb13-48b2-8c3d-6ff1181aca80,2000,0,41,christian hardcore,29.0,0.000773706,0.4522,207372.9,0.9744,0.070488908,5.0,0.23445,-3.635,0.6,0.12654,141.3619,4.0,0.30988,6966211,210427,1
88,Every Avenue,1IpSmgcN9F3KNa7j9JtAE4,27cb81c2-0a39-444c-bd73-101c14393a4a,2000,0,48,alternative pop rock,32.7,0.0740024,0.5657,210429.2,0.8501,1.73e-07,5.6,0.21066,-4.016,0.9,0.0539,135.0847,3.9,0.6542,6027744,310608,1
89,Every Time I Die,0o7WWONtleH6PWLn5GIoCM,ef90f210-f136-4386-ab37-8c00d04eeace,2000,4,56,alternative emo,45.6,6.0501e-05,0.2558,193232.1,0.9293,0.084884,6.1,0.348,-4.0793,0.5,0.13769,135.3924,3.8,0.3955,16761407,333075,1
